نام حرکت (Exercise Name),نام انگلیسی (English Name),جنسیت غالب رایج (Popular Sex Focus),عضله هدف (Target Muscle),تجهیزات (Equipment),سطح دشواری (Difficulty),نوع مکانیک (Mechanics),کالری‌سوزی نسبی (Relative Calorie Burn),گروه تمرینی (Workout Category)
شنا دست‌باز,Wide Grip Push Up,مشترک,سینه,وزن بدن,متوسط,ترکیبی,متوسط,قدرتی (Strength)
شنا روی زانو,Kneeling Push Up,زنانه,سینه,وزن بدن,مبتدی,ترکیبی,کم,قدرتی (Strength)
شنا پلایومتریک (پرشی),Plyometric Push Up,مشترک,سینه,وزن بدن,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
پلاور دمبل,Dumbbell Pullover,مشترک,سینه/زیربغل,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
زیربغل هالتر خم,Barbell Bent Over Row,مردانه,پشت,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
زیربغل هالتر خم مچ برعکس,Reverse Grip Barbell Row,مردانه,پشت,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
زیربغل دمبل خم جفت دست,Dumbbell Bent Over Row,مشترک,پشت,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
زیربغل دمبل تک دست (اره‌ای),One Arm Dumbbell Row,مشترک,پشت,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
تی‌بار,T-Bar Row,مردانه,پشت,هالتر/دستگاه,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
قایقی سیم‌کش دست باز,Wide Grip Seated Cable Row,مشترک,پشت,سیم‌کش,متوسط,ترکیبی,متوسط,قدرتی (Strength)
قایقی سیم‌کش دست جمع (وی بار),Close Grip Seated Row,مشترک,پشت,سیم‌کش,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
قایقی تک دست سیم‌کش,One Arm Cable Row,مشترک,پشت,سیم‌کش,متوسط,ترکیبی,متوسط,قدرتی (Strength)
لت از جلو دست باز,Wide Grip Lat Pulldown,مشترک,پشت,سیم‌کش,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
لت از جلو دست جمع,Close Grip Lat Pulldown,مشترک,پشت,سیم‌کش,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
لت مچ برعکس,Reverse Grip Lat Pulldown,مشترک,پشت/جلو بازو,سیم‌کش,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
لت از پشت,Behind Neck Lat Pulldown,مردانه,پشت,سیم‌کش,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پلاور سیم‌کش ایستاده,Straight Arm Pulldown,مشترک,پشت,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
بارفیکس عادی,Pull Up,مشترک,پشت,وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
بارفیکس مچ برعکس (چانه به میله),Chin Up,مشترک,پشت/جلو بازو,وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
بارفیکس با دستگاه کمکی,Assisted Pull Up,زنانه,پشت,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
ددلیفت کلاسیک,Conventional Deadlift,مشترک,پشت/پا,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
ددلیفت رومانیایی,Romanian Deadlift,زنانه,پشت/همسترینگ,هالتر,متوسط,ترکیبی,زیاد,قدرتی (Strength)
ددلیفت سومو,Sumo Deadlift,مشترک,پا/پشت,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
ددلیفت با دمبل,Dumbbell Deadlift,مشترک,پشت/پا,دمبل,متوسط,ترکیبی,زیاد,قدرتی (Strength)
شراگ هالتر از جلو,Barbell Shrug,مردانه,کول,هالتر,مبتدی,ایزوله,کم,قدرتی (Strength)
شراگ هالتر از پشت,Behind Back Barbell Shrug,مردانه,کول,هالتر,متوسط,ایزوله,کم,قدرتی (Strength)
شراگ دمبل,Dumbbell Shrug,مشترک,کول,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
شراگ اسمیت,Smith Machine Shrug,مشترک,کول,اسمیت,مبتدی,ایزوله,کم,قدرتی (Strength)
فیله کمر دستگاه,Back Extension Machine,مشترک,کمر,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
فیله کمر روی زمین (سوپرمن),Superman,مشترک,کمر,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
پرس سرشانه هالتر از جلو ایستاده,Standing Military Press,مردانه,سرشانه,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سرشانه هالتر از جلو نشسته,Seated Barbell Shoulder Press,مشترک,سرشانه,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سرشانه هالتر از پشت,Behind Neck Barbell Press,مردانه,سرشانه,هالتر,پیشرفته,ترکیبی,متوسط,قدرتی (Strength)
پرس سرشانه دمبل نشسته,Seated Dumbbell Press,مشترک,سرشانه,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
پرس سرشانه دستگاه,Machine Shoulder Press,مشترک,سرشانه,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
پرس آرنولدی,Arnold Press,مشترک,سرشانه,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سرشانه اسمیت,Smith Machine Shoulder Press,مشترک,سرشانه,اسمیت,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
نشر از جانب دمبل,Dumbbell Lateral Raise,مشترک,سرشانه,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
نشر از جانب سیم‌کش,Cable Lateral Raise,مشترک,سرشانه,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
نشر از جانب دستگاه,Machine Lateral Raise,مشترک,سرشانه,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
نشر از جانب تک دست سیم‌کش,One Arm Cable Lateral Raise,مشترک,سرشانه,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
نشر از جلو دمبل,Dumbbell Front Raise,مشترک,سرشانه,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
نشر از جلو هالتر,Barbell Front Raise,مشترک,سرشانه,هالتر,متوسط,ایزوله,کم,قدرتی (Strength)
نشر از جلو سیم‌کش,Cable Front Raise,مشترک,سرشانه,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
نشر از جلو با صفحه,Plate Front Raise,مشترک,سرشانه,صفحه,مبتدی,ایزوله,کم,قدرتی (Strength)
نشر خم دمبل نشسته,Seated Dumbbell Rear Delt Raise,مشترک,سرشانه,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
نشر خم سیم‌کش ایستاده,Standing Cable Rear Delt,مشترک,سرشانه,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
پک دک معکوس (نشر خم دستگاه),Reverse Pec Deck,مشترک,سرشانه,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
کول هالتر,Barbell Upright Row,مردانه,سرشانه/کول,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
کول دمبل,Dumbbell Upright Row,مشترک,سرشانه/کول,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
کول سیم‌کش,Cable Upright Row,مشترک,سرشانه/کول,سیم‌کش,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
جلو بازو هالتر ایستاده,Standing Barbell Curl,مردانه,جلو بازو,هالتر,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو هالتر EZ,EZ Bar Curl,مشترک,جلو بازو,هالتر,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو دمبل جفت دست,Dumbbell Curl,مشترک,جلو بازو,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو دمبل تناوبی,Alternating Dumbbell Curl,مشترک,جلو بازو,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو سیم‌کش ایستاده,Standing Cable Curl,مشترک,جلو بازو,سیم‌کش,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو دستگاه,Machine Bicep Curl,مشترک,جلو بازو,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو لاری هالتر,Barbell Preacher Curl,مشترک,جلو بازو,هالتر,متوسط,ایزوله,کم,قدرتی (Strength)
جلو بازو لاری دمبل تک دست,One Arm Dumbbell Preacher Curl,مشترک,جلو بازو,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
جلو بازو لاری دستگاه,Machine Preacher Curl,مشترک,جلو بازو,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو لاری سیم‌کش,Cable Preacher Curl,مشترک,جلو بازو,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
جلو بازو چکشی دمبل,Dumbbell Hammer Curl,مشترک,جلو بازو/ساعد,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو چکشی سیم‌کش طناب,Rope Cable Hammer Curl,مشترک,جلو بازو/ساعد,سیم‌کش,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو بازو تمرکزی دمبل,Concentration Curl,مشترک,جلو بازو,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
جلو بازو عنکبوتی,Spider Curl,مشترک,جلو بازو,هالتر/دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
جلو بازو با کش,Resistance Band Curl,زنانه,جلو بازو,کش ورزشی,مبتدی,ایزوله,کم,قدرتی (Strength)
پشت بازو سیم‌کش با طناب,Tricep Pushdown with Rope,مشترک,پشت بازو,سیم‌کش,مبتدی,ایزوله,کم,قدرتی (Strength)
پشت بازو سیم‌کش میله صاف,Tricep Pushdown with Straight Bar,مشترک,پشت بازو,سیم‌کش,مبتدی,ایزوله,کم,قدرتی (Strength)
پشت بازو سیم‌کش مچ برعکس,Reverse Grip Tricep Pushdown,مشترک,پشت بازو,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو سیم‌کش بالای سر,Overhead Cable Extension,مشترک,پشت بازو,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو هالتر خوابیده (فرانسوی),Skullcrusher,مردانه,پشت بازو,هالتر,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو دمبل خوابیده جفت دست,Dumbbell Skullcrusher,مشترک,پشت بازو,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو دمبل تک دست پشت سر,One Arm Overhead Dumbbell Ext,مشترک,پشت بازو,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو دمبل جفت دست پشت سر,Two Arm Overhead Dumbbell Ext,مشترک,پشت بازو,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
پرس سینه دست جمع,Close Grip Bench Press,مردانه,پشت بازو/سینه,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس سینه دست جمع اسمیت,Smith Machine Close Grip Press,مشترک,پشت بازو/سینه,اسمیت,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
دیپ پارالل,Parallel Bar Dip,مردانه,پشت بازو/سینه,وزن بدن,متوسط,ترکیبی,متوسط,قدرتی (Strength)
دیپ با وزنه,Weighted Dip,مردانه,پشت بازو/سینه,وزن بدن+وزنه,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
دیپ بین دو میز,Bench Dip,مشترک,پشت بازو,وزن بدن,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
دیپ با دستگاه کمکی,Assisted Dip,زنانه,پشت بازو,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
کیک بک دمبل,Dumbbell Kickback,زنانه,پشت بازو,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
کیک بک سیم‌کش,Cable Kickback,مشترک,پشت بازو,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
پشت بازو با کش,Resistance Band Tricep Ext,زنانه,پشت بازو,کش ورزشی,مبتدی,ایزوله,کم,قدرتی (Strength)
اسکوات هالتر از پشت,Barbell Back Squat,مشترک,پا,هالتر,متوسط,ترکیبی,زیاد,قدرتی (Strength)
اسکوات هالتر از جلو,Barbell Front Squat,مشترک,پا,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
اسکوات گابلت با دمبل,Dumbbell Goblet Squat,زنانه,پا,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
اسکوات دستگاه هاک,Hack Squat,مشترک,پا,دستگاه,متوسط,ترکیبی,زیاد,قدرتی (Strength)
اسکوات اسمیت,Smith Machine Squat,زنانه,پا,اسمیت,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
اسکوات بلغاری با دمبل,Dumbbell Bulgarian Split Squat,زنانه,پا,دمبل,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
اسکوات بلغاری با هالتر,Barbell Bulgarian Split Squat,مشترک,پا,هالتر,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
اسکوات با وزن بدن,Bodyweight Squat,مشترک,پا,وزن بدن,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
اسکوات پرشی,Jump Squat,مشترک,پا,وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
پرس پا عادی,Leg Press,مشترک,پا,دستگاه,مبتدی,ترکیبی,زیاد,قدرتی (Strength)
پرس پا جمع,Narrow Stance Leg Press,مشترک,چهارسر ران,دستگاه,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس پا باز,Wide Stance Leg Press,زنانه,داخل ران/باسن,دستگاه,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پرس تک پا,Single Leg Press,مشترک,پا,دستگاه,متوسط,ترکیبی,متوسط,قدرتی (Strength)
لانچ با هالتر,Barbell Lunge,مشترک,پا,هالتر,متوسط,ترکیبی,زیاد,قدرتی (Strength)
لانچ با دمبل,Dumbbell Lunge,زنانه,پا,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
لانچ راه رفتنی,Walking Lunge,زنانه,پا,دمبل/وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
لانچ درجا,Stationary Lunge,مشترک,پا,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
لانچ معکوس,Reverse Lunge,مشترک,پا,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
جلو ران دستگاه,Leg Extension,مشترک,چهارسر ران,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
جلو ران تک پا,Single Leg Extension,مشترک,چهارسر ران,دستگاه,متوسط,ایزوله,کم,قدرتی (Strength)
پشت ران دستگاه خوابیده,Lying Leg Curl,مشترک,همسترینگ,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
پشت ران دستگاه نشسته,Seated Leg Curl,مشترک,همسترینگ,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
پشت ران ایستاده دستگاه,Standing Leg Curl,مشترک,همسترینگ,دستگاه,متوسط,ایزوله,کم,قدرتی (Strength)
پشت ران با دمبل (خوابیده),Dumbbell Leg Curl,مشترک,همسترینگ,دمبل,متوسط,ایزوله,کم,قدرتی (Strength)
ساق پا ایستاده دستگاه,Standing Calf Raise,مردانه,ساق پا,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
ساق پا نشسته دستگاه,Seated Calf Raise,مشترک,ساق پا,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
ساق پا ایستاده با دمبل,Dumbbell Calf Raise,مشترک,ساق پا,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
ساق پا با پرس پا,Leg Press Calf Raise,مشترک,ساق پا,دستگاه,متوسط,ایزوله,کم,قدرتی (Strength)
ساق پا وزن بدن,Bodyweight Calf Raise,مشترک,ساق پا,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
هیپ تراست با هالتر,Barbell Hip Thrust,زنانه,باسن,هالتر,متوسط,ترکیبی,متوسط,قدرتی (Strength)
هیپ تراست با دستگاه,Machine Hip Thrust,زنانه,باسن,دستگاه,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
هیپ تراست با دمبل,Dumbbell Hip Thrust,زنانه,باسن,دمبل,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
هیپ تراست تک پا,Single Leg Hip Thrust,زنانه,باسن,وزن بدن/دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پل باسن (گلوت بریج),Glute Bridge,زنانه,باسن,وزن بدن,مبتدی,ترکیبی,کم,قدرتی (Strength)
کیک بک باسن سیم‌کش,Cable Glute Kickback,زنانه,باسن,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
کیک بک باسن دستگاه,Machine Glute Kickback,زنانه,باسن,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
کیک بک باسن روی زمین (وزن بدن),Donkey Kicks,زنانه,باسن,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
کیک بک باسن با کش,Banded Glute Kickback,زنانه,باسن,کش ورزشی,مبتدی,ایزوله,کم,قدرتی (Strength)
خیاطه داخل ران دستگاه,Hip Adductor Machine,زنانه,داخل ران,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
خیاطه خارج ران دستگاه,Hip Abductor Machine,زنانه,خارج ران/باسن,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
داخل ران سیم‌کش ایستاده,Cable Hip Adduction,مشترک,داخل ران,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
خارج ران سیم‌کش ایستاده,Cable Hip Abduction,زنانه,خارج ران/باسن,سیم‌کش,متوسط,ایزوله,کم,قدرتی (Strength)
خارج ران با کش نشسته,Seated Band Abduction,زنانه,خارج ران,کش ورزشی,مبتدی,ایزوله,کم,قدرتی (Strength)
راه رفتن خرچنگی با کش,Banded Crab Walk,زنانه,باسن,کش ورزشی,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
کرانچ روی زمین,Crunch,مشترک,شکم,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
کرانچ روی میز شیب‌دار,Decline Crunch,مردانه,شکم,دستگاه/میز,متوسط,ایزوله,متوسط,قدرتی (Strength)
کرانچ سیم‌کش,Cable Crunch,مردانه,شکم,سیم‌کش,متوسط,ایزوله,متوسط,قدرتی (Strength)
کرانچ با دستگاه,Machine Crunch,مشترک,شکم,دستگاه,مبتدی,ایزوله,کم,قدرتی (Strength)
کرانچ معکوس,Reverse Crunch,مشترک,زیرشکم,وزن بدن,متوسط,ایزوله,متوسط,قدرتی (Strength)
کرانچ دوچرخه,Bicycle Crunch,زنانه,شکم/پهلو,وزن بدن,متوسط,ترکیبی,متوسط,قدرتی (Strength)
پلانک ساده,Plank,مشترک,هسته بدن,وزن بدن,مبتدی,ایزوله,متوسط,قدرتی (Strength)
پلانک پهلو,Side Plank,مشترک,پهلو,وزن بدن,متوسط,ایزوله,متوسط,قدرتی (Strength)
پلانک تک پا,Single Leg Plank,مشترک,هسته بدن,وزن بدن,متوسط,ایزوله,متوسط,قدرتی (Strength)
پلانک تک دست,Single Arm Plank,مشترک,هسته بدن,وزن بدن,پیشرفته,ایزوله,متوسط,قدرتی (Strength)
پلانک جک,Plank Jacks,زنانه,هسته بدن,وزن بدن,متوسط,ترکیبی,زیاد,قدرتی (Strength)
زیرشکم خوابیده (بالا آوردن پاها),Lying Leg Raise,زنانه,زیرشکم,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
زیرشکم خلبانی (با دستگاه),Captain's Chair Leg Raise,مشترک,زیرشکم,دستگاه,متوسط,ایزوله,متوسط,قدرتی (Strength)
زیرشکم آویزان از بارفیکس,Hanging Leg Raise,مردانه,زیرشکم,وزن بدن,پیشرفته,ایزوله,متوسط,قدرتی (Strength)
زیرشکم قیچی,Flutter Kicks,زنانه,زیرشکم,وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
شکم روسی بدون وزنه,Russian Twist,مشترک,پهلو,وزن بدن,مبتدی,ترکیبی,متوسط,قدرتی (Strength)
شکم روسی با دمبل,Weighted Russian Twist (Dumbbell),مشترک,پهلو,دمبل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
شکم روسی با صفحه,Weighted Russian Twist (Plate),مشترک,پهلو,صفحه,متوسط,ترکیبی,متوسط,قدرتی (Strength)
رول شکم با غلتک,Ab Roller,مردانه,هسته بدن,غلتک,پیشرفته,ترکیبی,زیاد,قدرتی (Strength)
وکیوم شکم,Stomach Vacuum,مشترک,هسته بدن (عرضی شکم),وزن بدن,مبتدی,ایزوله,کم,قدرتی (Strength)
پهلو دمبل ایستاده,Standing Dumbbell Side Bend,مردانه,پهلو,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
تو در تو (V-Up),V-Ups,مشترک,شکم,وزن بدن,پیشرفته,ترکیبی,متوسط,قدرتی (Strength)
دوهزار (کلین اند جرک),Clean and Jerk,مشترک,کل بدن,هالتر,پیشرفته,ترکیبی,خیلی زیاد,قدرتی (Strength)
اسنچ (یک ضرب),Snatch,مشترک,کل بدن,هالتر,پیشرفته,ترکیبی,خیلی زیاد,قدرتی (Strength)
پاور کلین,Power Clean,مشترک,کل بدن,هالتر,پیشرفته,ترکیبی,خیلی زیاد,قدرتی (Strength)
پوش پرس,Push Press,مشترک,سرشانه/پا,هالتر,متوسط,ترکیبی,زیاد,قدرتی (Strength)
مچ هالتر از رو,Reverse Wrist Curl,مردانه,ساعد,هالتر,مبتدی,ایزوله,کم,قدرتی (Strength)
مچ هالتر از زیر,Wrist Curl,مردانه,ساعد,هالتر,مبتدی,ایزوله,کم,قدرتی (Strength)
مچ دمبل از رو,Dumbbell Reverse Wrist Curl,مشترک,ساعد,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
مچ دمبل از زیر,Dumbbell Wrist Curl,مشترک,ساعد,دمبل,مبتدی,ایزوله,کم,قدرتی (Strength)
گردن با صفحه,Neck Flexion with Plate,مردانه,گردن,صفحه,متوسط,ایزوله,کم,قدرتی (Strength)
تردمیل ساده,Treadmill Walking,مشترک,کل بدن,دستگاه,مبتدی,هوازی,متوسط,هوازی (Cardio)
تردمیل شیب‌دار,Incline Treadmill Walking,زنانه,پا/باسن,دستگاه,متوسط,هوازی,زیاد,هوازی (Cardio)
دویدن اینتروال (HIIT) روی تردمیل,Treadmill HIIT,مشترک,کل بدن,دستگاه,پیشرفته,هوازی,خیلی زیاد,هوازی (Cardio)
دوچرخه ثابت,Stationary Bike,مشترک,پا,دستگاه,مبتدی,هوازی,متوسط,هوازی (Cardio)
دوچرخه اسپینینگ,Spin Bike,مشترک,پا,دستگاه,متوسط,هوازی,زیاد,هوازی (Cardio)
دوچرخه مبله,Recumbent Bike,زنانه,پا,دستگاه,مبتدی,هوازی,کم,هوازی (Cardio)
الپتیکال (اسکی فضایی),Elliptical,زنانه,کل بدن,دستگاه,مبتدی,هوازی,متوسط,هوازی (Cardio)
استپ میل (پلهنورد),Stairmaster,زنانه,پا/باسن,دستگاه,متوسط,هوازی,زیاد,هوازی (Cardio)
روئینگ (قایقرانی دستگاه),Rowing Machine,مشترک,کل بدن,دستگاه,متوسط,هوازی,زیاد,هوازی (Cardio)
طناب زدن,Jump Rope,مشترک,کل بدن,طناب,متوسط,هوازی,زیاد,هوازی (Cardio)
جامپینگ جک (پروانه),Jumping Jacks,مشترک,کل بدن,وزن بدن,مبتدی,هوازی,متوسط,هوازی (Cardio)
برپی,Burpees,مشترک,کل بدن,وزن بدن,پیشرفته,هوازی,خیلی زیاد,هوازی (Cardio)
بتل روپ (طناب جنگی),Battle Ropes,مردانه,کل بدن,طناب ضخیم,متوسط,هوازی,خیلی زیاد,هوازی (Cardio)
اسکوات کتل‌بل,Kettlebell Squat,زنانه,پا,کتل‌بل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
ددلیفت کتل‌بل,Kettlebell Deadlift,زنانه,پا/پشت,کتل‌بل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
سوینگ کتل‌بل,Kettlebell Swing,مشترک,باسن/کمر,کتل‌بل,متوسط,ترکیبی,زیاد,قدرتی (Strength)
پرس سرشانه کتل‌بل تک دست,Single Arm Kettlebell Press,مشترک,سرشانه,کتل‌بل,متوسط,ترکیبی,متوسط,قدرتی (Strength)
کوهنورد سرعتی,Mountain Climbers,زنانه,هسته بدن/هوازی,وزن بدن,متوسط,هوازی,زیاد,هوازی (Cardio)
کشش همسترینگ ایستاده,Standing Hamstring Stretch,مشترک,همسترینگ,وزن بدن,مبتدی,کششی,کم,کششی (Flexibility)
کشش سینه کنار دیوار,Wall Chest Stretch,مشترک,سینه,وزن بدن,مبتدی,کششی,کم,کششی (Flexibility)
کشش چهارسر ران ایستاده,Standing Quad Stretch,مشترک,چهارسر ران,وزن بدن,مبتدی,کششی,کم,کششی (Flexibility)
