نام غذا/ماده (Persian Name),نام انگلیسی (English Name),دسته بندی (Category),واحد اندازه گیری (Serving),کالری در ۱۰۰ گرم (Calories/100g),پروتئین - گرم (Protein g),کربوهیدرات - گرم (Carbs g),چربی - گرم (Fat g)
ماهی قزل‌آلا,Trout Fish,پروتئین دریایی,100g,150,20,0,6
ماهی سالمون,Salmon,پروتئین دریایی,100g,200,20,0,13
ماهی تیلاپیا,Tilapia,پروتئین دریایی,100g,95,20,0,2
تن ماهی (در روغن),Tuna in Oil,پروتئین دریایی,100g,200,23,0,11
تن ماهی (در آب),Tuna in Water,پروتئین دریایی,100g,110,24,0,1
میگو,Shrimp,پروتئین دریایی,100g,100,20,0,1
تخم مرغ کامل (آب‌پز),Whole Egg (Boiled),پروتئین,100g,155,13,1,11
سفیده تخم مرغ,Egg White,پروتئین,100g,52,11,1,0
شیر کم چرب,Low Fat Milk,لبنیات,100g,42,3,5,1
شیر پر چرب,Full Fat Milk,لبنیات,100g,60,3,5,3
ماست کم چرب,Low Fat Yogurt,لبنیات,100g,50,5,6,1
ماست پر چرب,Full Fat Yogurt,لبنیات,100g,75,4,5,4
ماست چکیده,Strained Yogurt,لبنیات,100g,100,8,4,6
ماست ایسلندی / یونانی,Greek Yogurt,لبنیات,100g,60,10,3,0
پنیر لیقوان,Lighvan Cheese,لبنیات,100g,300,14,2,26
پنیر فتا (سفید),Feta Cheese,لبنیات,100g,260,14,4,21
پنیر پیتزا (موزارلا),Mozzarella Cheese,لبنیات,100g,280,22,2,22
پنیر چدار,Cheddar Cheese,لبنیات,100g,400,25,1,33
کشک,Kashk,لبنیات,100g,380,50,10,15
خامه,Cream,لبنیات,100g,340,2,3,36
کره حیوانی,Butter,لبنیات,100g,717,1,0,81
دوغ,Doogh (Yogurt Drink),لبنیات/نوشیدنی,100g,25,2,2,1
سیب,Apple,میوه,100g,52,0,14,0
موز,Banana,میوه,100g,89,1,23,0
پرتقال,Orange,میوه,100g,43,1,10,0
نارنگی,Tangerine,میوه,100g,53,1,13,0
انگور,Grape,میوه,100g,69,1,18,0
هندوانه,Watermelon,میوه,100g,30,1,8,0
خربزه,Melon,میوه,100g,34,1,8,0
طالبی,Cantaloupe,میوه,100g,34,1,8,0
انار,Pomegranate,میوه,100g,83,2,19,1
خیار,Cucumber,میوه/سبزیجات,100g,15,1,4,0
گوجه فرنگی,Tomato,میوه/سبزیجات,100g,18,1,4,0
توت فرنگی,Strawberry,میوه,100g,32,1,8,0
کیوی,Kiwi,میوه,100g,61,1,15,1
هلو,Peach,میوه,100g,39,1,10,0
شلیل,Nectarine,میوه,100g,44,1,11,0
آلو,Plum,میوه,100g,46,1,11,0
زردآلو,Apricot,میوه,100g,48,1,11,0
گیلاس,Cherry,میوه,100g,63,1,16,0
آلبالو,Sour Cherry,میوه,100g,50,1,12,0
انجیر,Fig,میوه,100g,74,1,19,0
خرما,Date,میوه خشک,100g,282,2,75,0
کشمش,Raisin,میوه خشک,100g,299,3,79,0
توت خشک,Dried Mulberry,میوه خشک,100g,330,10,75,2
اسفناج,Spinach,سبزیجات,100g,23,3,4,0
کاهو,Lettuce,سبزیجات,100g,15,1,3,0
کلم پیچ,Cabbage,سبزیجات,100g,25,1,6,0
گل کلم,Cauliflower,سبزیجات,100g,25,2,5,0
کلم بروکلی,Broccoli,سبزیجات,100g,34,3,7,0
هویج,Carrot,سبزیجات,100g,41,1,10,0
سیب زمینی (آب‌پز),Potato (Boiled),سبزیجات نشاسته‌ای,100g,87,2,20,0
سیب زمینی شیرین,Sweet Potato,سبزیجات نشاسته‌ای,100g,86,2,20,0
پیاز,Onion,سبزیجات,100g,40,1,9,0
سیر,Garlic,سبزیجات,100g,149,6,33,1
فلفل دلمه‌ای,Bell Pepper,سبزیجات,100g,20,1,5,0
قارچ,Mushroom,سبزیجات,100g,22,3,3,0
کدو سبز,Zucchini,سبزیجات,100g,17,1,3,0
بادمجان,Eggplant,سبزیجات,100g,25,1,6,0
لوبیا سبز,Green Beans,سبزیجات,100g,31,2,7,0
نخود فرنگی,Green Peas,سبزیجات نشاسته‌ای,100g,81,5,14,0
عدس (خام),Lentils (Raw),حبوبات,100g,350,25,60,1
نخود (خام),Chickpeas (Raw),حبوبات,100g,364,19,61,6
لوبیا چیتی (خام),Pinto Beans (Raw),حبوبات,100g,347,21,63,1
لوبیا قرمز (خام),Kidney Beans (Raw),حبوبات,100g,333,24,60,1
لپه (خام),Split Peas (Raw),حبوبات,100g,340,25,60,1
سویا (پروتئین),Soy Protein,حبوبات,100g,330,50,30,1
پسته,Pistachio,آجیل,100g,562,20,28,45
گردو,Walnut,آجیل,100g,654,15,14,65
بادام درختی,Almond,آجیل,100g,579,21,22,50
بادام زمینی,Peanut,آجیل,100g,567,26,16,49
فندق,Hazelnut,آجیل,100g,628,15,17,61
تخمه آفتابگردان,Sunflower Seeds,آجیل,100g,584,21,20,51
تخمه کدو,Pumpkin Seeds,آجیل,100g,559,30,10,49
کنجد,Sesame Seeds,آجیل,100g,573,18,23,50
کره بادام زمینی,Peanut Butter,کره آجیل,100g,588,25,20,50
فلافل,Falafel,فست فود,100g,333,13,31,17
سوسیس بندری,Sausage Bandari,فست فود,100g,280,10,15,20
پیتزا مخلوط,Mixed Pizza,فست فود,100g,260,11,30,10
همبرگر (بدون نان),Hamburger Patty,فست فود,100g,250,15,2,20
سیب زمینی سرخ کرده,French Fries,فست فود,100g,312,3,41,15
چیپس سیب زمینی,Potato Chips,تنقلات,100g,536,7,53,35
پفک,Cheese Puffs,تنقلات,100g,500,5,60,30
بیسکویت ساقه طلایی,Digestive Biscuit,تنقلات,100g,480,7,65,20
کیک یزدی,Yazdi Cake,شیرینی,100g,350,5,50,15
زولبیا,Zoolbia,شیرینی,100g,450,2,70,20
بامیه (شیرینی),Bamieh (Sweet),شیرینی,100g,400,3,60,15
حلوا,Halva,شیرینی,100g,450,5,55,25
شله زرد,Sholeh Zard,دسر,100g,250,3,55,2
بستنی وانیلی,Vanilla Ice Cream,دسر,100g,207,3,24,11
بستنی سنتی زعفرانی,Traditional Saffron Ice Cream,دسر,100g,250,4,25,15
روغن زیتون,Olive Oil,روغن,100g,884,0,0,100
روغن حیوانی,Ghee / Animal Fat,روغن,100g,900,0,0,100
روغن کانولا,Canola Oil,روغن,100g,884,0,0,100
روغن آفتابگردان,Sunflower Oil,روغن,100g,884,0,0,100
سس مایونز,Mayonnaise,چاشنی,100g,680,1,0,75
سس کچاپ,Ketchup,چاشنی,100g,112,1,27,0
رب گوجه فرنگی,Tomato Paste,چاشنی,100g,82,4,19,0
رب انار,Pomegranate Paste,چاشنی,100g,250,1,60,0
آبلیمو,Lemon Juice,چاشنی,100g,22,0,7,0
نوشابه گازدار,Soda,نوشیدنی,100g,40,0,10,0
دلستر (آبجو بدون الکل),Non-alcoholic Beer,نوشیدنی,100g,30,0,7,0
آب پرتقال طبیعی,Fresh Orange Juice,نوشیدنی,100g,45,1,10,0
شربت خاکشیر,Khakshir Drink,نوشیدنی سنتی,100g,60,0,15,0
شربت تخم شربتی,Tokhm Sharbati Drink,نوشیدنی سنتی,100g,50,1,12,0
چای سیاه (تلخ),Black Tea (No Sugar),نوشیدنی,100g,1,0,0,0
قهوه اسپرسو,Espresso,نوشیدنی,100g,9,0,2,0
کباب ترش,Kabab Torsh,کباب,100g,230,18,5,14
مرغ ترش,Morgh Torsh,خورشت,100g,210,15,8,12
باقلاقاتوق,Baghali Ghatogh,غذای سنتی,100g,160,8,15,8
میرزا قاسمی گیلانی,Authentic Mirza Ghasemi,پیش غذا,100g,130,4,9,10
ترش تره,Torsh Tareh,غذای سنتی,100g,110,5,10,6
اناربیج,Anarbij,خورشت,100g,280,10,12,22
شامی پوک,Shami Pook,غذای سنتی,100g,210,12,10,13
کوفته قلقلی,Meatballs (Ghelgheli),غذای سنتی,100g,240,15,8,16
خورشت خلال,Khoresht Khalal,خورشت,100g,220,10,12,15
دنده کباب,Dandeh Kabab,کباب,100g,320,14,0,28
بریانی اصفهان,Beryani Isfahan,غذای سنتی,100g,350,18,5,28
خورشت ماست,Khoresht Mast,دسر/پیش غذا,100g,210,8,18,10
آش شولی,Ash Shooli,آش,100g,90,3,15,2
کلم پلو تهرانی,Kalam Polo Tehrani,غذای اصلی,100g,185,7,22,8
دمپختک,Dampokhtak,غذای اصلی,100g,170,5,25,6
رشته پلو,Reshteh Polo,غذای اصلی,100g,190,6,30,5
هویج پلو,Havij Polo,غذای اصلی,100g,200,7,28,7
میگو پلو,Meygoo Polo,غذای اصلی,100g,210,12,25,6
قلیه ماهی,Ghalieh Mahi,خورشت,100g,190,14,8,11
قلیه میگو,Ghalieh Meygoo,خورشت,100g,180,12,8,10
سمبوسه,Sambooseh,فست فود,100g,290,6,35,14
فلافل خوزستان,Spicy Falafel,فست فود,100g,340,13,31,18
آبگوشت بزباش,Abgoosht Bozbash,غذای سنتی,100g,170,10,10,9
اشکنه,Eshkeneh,سوپ/خوراک,100g,120,4,12,6
کالجوش (کله جوش),Kaljoosh,سوپ/خوراک,100g,140,6,8,9
آش انار,Ash Anar,آش,100g,110,4,18,2
آش ترخینه,Ash Tarkhineh,آش,100g,130,5,20,3
سوپ ورمیشل,Vermicelli Soup,سوپ,100g,80,3,12,2
کوکو ماکارونی,Macaroni Kookoo,غذای سنتی,100g,220,7,25,10
کوکو گل کلم,Cauliflower Kookoo,غذای سنتی,100g,150,5,10,10
کتلت مرغ,Chicken Kotlet,غذای سنتی,100g,190,14,10,10
دلمه فلفل,Bell Pepper Dolmeh,پیش غذا,100g,120,5,12,6
دلمه گوجه,Tomato Dolmeh,پیش غذا,100g,110,4,11,5
دلمه بادمجان,Eggplant Dolmeh,پیش غذا,100g,130,5,13,7
کدو بره,Kadoo Bareh,غذای سنتی,100g,110,3,12,6
نرگسی اسفناج,Nargesi,پیش غذا/غذای سنتی,100g,140,8,5,10
سوسیس تخم مرغ,Sausage & Eggs,فست فود/صبحانه,100g,270,12,3,23
املت گوجه ایرانی,Persian Tomato Omelet,صبحانه,100g,160,8,5,12
نیمرو,Fried Egg,صبحانه,100g,190,12,1,15
خاگینه,Khagineh,شیرینی/صبحانه,100g,280,8,25,16
کاچی,Kachi,دسر/صبحانه,100g,320,3,30,20
شیر برنج,Shir Berenj,دسر,100g,110,3,18,2
فرنی,Ferni,دسر,100g,120,4,20,3
مسقطی,Masghati,دسر,100g,300,1,65,5
باسلوق,Basloogh,شیرینی,100g,340,1,75,2
نوقا,Nougat,شیرینی,100g,400,4,70,12
گز,Gaz,شیرینی,100g,380,5,65,10
سوهان,Sohan,شیرینی,100g,480,6,50,28
پشمک,Pashmak,شیرینی,100g,390,0,95,1
کلوچه فومنی,Koloocheh Fouman,شیرینی,100g,360,5,55,14
کلوچه نادری,Koloocheh Naderi,شیرینی,100g,380,4,60,15
نان خرمایی,Nan Khormaei,شیرینی,100g,350,4,65,8
شیرینی دانمارکی,Danish Pastry,شیرینی,100g,420,5,45,24
شیرینی لطیفه,Latifeh Pastry,شیرینی,100g,350,6,40,18
کیک شکلاتی,Chocolate Cake,شیرینی,100g,380,5,50,18
نون خامه‌ای (نارنجک),Cream Puff,شیرینی,100g,360,6,30,24
فیله مرغ خام,Raw Chicken Tenderloin,پروتئین گوشتی,100g,110,23,0,2
فیله مرغ گریل,Grilled Chicken Tenderloin,پروتئین گوشتی,100g,150,31,0,3
بوقلمون چرخ‌کرده,Minced Turkey,پروتئین گوشتی,100g,145,22,0,6
شترمرغ,Ostrich Meat,پروتئین گوشتی,100g,115,22,0,2
گوشت شتر,Camel Meat,پروتئین گوشتی,100g,130,21,0,5
میگو گریل شده,Grilled Shrimp,پروتئین دریایی,100g,120,24,0,1
سفیده تخم مرغ آب‌پز,Boiled Egg White,پروتئین,100g,52,11,1,0
زرده تخم مرغ,Egg Yolk,پروتئین/چربی,100g,322,16,4,27
پودر پروتئین وی,Whey Protein Powder,مکمل,100g,380,80,5,3
پودر پروتئین کازئین,Casein Protein,مکمل,100g,360,75,4,2
کره بادام,Almond Butter,کره آجیل,100g,614,21,19,56
شیر سویا,Soy Milk,لبنیات گیاهی,100g,33,3,2,2
شیر بادام,Almond Milk,لبنیات گیاهی,100g,15,1,0,1
شیر نارگیل,Coconut Milk,لبنیات گیاهی,100g,230,2,6,24
نان پروتئینی,Protein Bread,نان,100g,260,22,15,12
نان جو خشک,Dry Barley Bread,نان,100g,350,10,70,2
کورن فلکس ساده,Corn Flakes,غلات,100g,360,8,80,1
موسلی,Muesli,غلات,100g,350,12,60,6
گرانولا,Granola,غلات,100g,470,10,60,20
ماکارونی سبوس‌دار,Whole Wheat Pasta,غلات,100g,350,14,70,2
کلم بروکلی آب‌پز,Boiled Broccoli,سبزیجات,100g,35,2,7,0
اسفناج پخته,Cooked Spinach,سبزیجات,100g,23,3,4,0
کدو حلوایی پخته,Cooked Pumpkin,سبزیجات نشاسته‌ای,100g,20,1,5,0
لبو (چغندر پخته),Cooked Beetroot,سبزیجات,100g,43,2,10,0
شلغم پخته,Cooked Turnip,سبزیجات,100g,28,1,6,0
باقلا سبز پخته,Cooked Fava Beans,حبوبات,100g,110,8,18,1
ذرت شیرین پخته,Cooked Sweet Corn,سبزیجات نشاسته‌ای,100g,96,3,21,2
پاپ کورن (بدون روغن),Air Popped Popcorn,تنقلات,100g,387,13,78,5
روغن کنجد,Sesame Oil,روغن,100g,884,0,0,100
روغن نارگیل,Coconut Oil,روغن,100g,862,0,0,100
سس خردل,Mustard Sauce,چاشنی,100g,60,4,5,3
سس هزار جزیره,Thousand Island,چاشنی,100g,400,1,15,40
سس باربیکیو,BBQ Sauce,چاشنی,100g,200,1,45,1
ترشی لیته,Liteh Pickle,چاشنی,100g,30,1,6,0
ترشی سیر,Pickled Garlic,چاشنی,100g,60,2,12,0
خیارشور,Pickled Cucumber,چاشنی,100g,11,0,2,0
زیتون پرورده,Zeytoon Parvardeh,پیش غذا/چاشنی,100g,230,2,15,20
زیتون سبز,Green Olives,چاشنی,100g,145,1,4,15
زیتون سیاه,Black Olives,چاشنی,100g,115,1,6,11
دانه چیا,Chia Seeds,دانه روغنی,100g,486,17,42,31
دانه کتان,Flaxseed,دانه روغنی,100g,534,18,29,42
شاهدانه,Hemp Seeds,دانه روغنی,100g,553,31,9,49
تخمه هندوانه,Watermelon Seeds,آجیل,100g,557,28,15,47
سنجد,Oleaster,تنقلات/میوه,100g,150,2,35,1
مویز,Black Raisin,میوه خشک,100g,300,3,75,0
برگه زردآلو,Dried Apricot,میوه خشک,100g,241,3,63,1
انجیر خشک,Dried Fig,میوه خشک,100g,249,3,64,1
آلو بخارا,Dried Plum (Bukhara),میوه خشک,100g,240,2,64,0
شیره انگور,Grape Syrup,شیرین‌کننده,100g,300,1,75,0
شیره خرما,Date Syrup,شیرین‌کننده,100g,270,1,65,0
ارده,Tahini,چاشنی/کره,100g,595,17,21,54
عسل طبیعی,Natural Honey,شیرین‌کننده,100g,304,0,82,0
شکر سفید,White Sugar,شیرین‌کننده,100g,387,0,100,0
شکر قهوه‌ای,Brown Sugar,شیرین‌کننده,100g,377,0,97,0
نبات,Rock Candy,شیرین‌کننده,100g,390,0,98,0
قند حبه‌ای,Sugar Cubes,شیرین‌کننده,100g,380,0,99,0
سوسیس آلمانی,German Sausage,فست فود,100g,300,12,5,25
کالباس خشک,Dry Salami / Kalbas,فست فود,100g,350,15,3,30
کالباس مرغ,Chicken Salami,فست فود,100g,200,12,5,15
ژامبون گوشت,Meat Jambon,فست فود,100g,220,14,4,16
بیکن گوساله,Beef Bacon,فست فود,100g,400,14,1,38
کورن داگ,Corn Dog,فست فود,100g,260,9,25,14
ناگت مرغ,Chicken Nuggets,فست فود,100g,290,14,15,20
شنیتسل مرغ,Chicken Schnitzel,فست فود,100g,310,15,20,18
فیله سوخاری,Fried Chicken Strips,فست فود,100g,320,14,18,20
سیب زمینی تنوری,Baked Potato,سبزیجات نشاسته‌ای,100g,93,2,21,0
پوره سیب زمینی,Mashed Potato,پیش غذا,100g,110,2,18,4
ذرت مکزیکی,Mexican Corn (Persian style),میان وعده,100g,250,5,15,18
فالوده شیرازی,Faloodeh Shirazi,دسر,100g,180,0,45,0
آب هویج بستنی,Carrot Juice Float,نوشیدنی/دسر,100g,120,2,18,4
